name,slug,category,metros,doordash_slug,ubereats_slug,email,phone,website,email_source
"Petite Violette - French Restaurant in Atlanta, GA",petiteviolette-frenchrestaurantinatlanta,restaurant,atlanta,,,user@domain.com,(404) 634-6268,http://www.petitevioletterestaurant.com/,website_scrape
"Clover Production Test Company - Restaurant in Atlanta, GA",cloverproductiontestcompany-restaurantin,restaurant,atlanta,,,user@domain.com,(478) 313-5647,http://cloverwinemerchant.com/,website_scrape
"Mr. Everything - Atlanta, GA 30314 (Menu & Order Online)",mreverything-atlantaga30314menuorderonli,restaurant,atlanta,,,info@mreverythingcafega.com,(404) 521-9903,https://mreverythingcafega.com/,domain_guess
"Olo - Restaurant Technology & Digital Ordering Platform",olo-restauranttechnologydigitalorderingp,restaurant,atlanta,,,,,,
"Private Dining Accolades Atlanta Magazine​: Best of Atlanta",privatediningaccoladesatlantamagazinebes,restaurant,atlanta,,,,,,
"Dat Fire Jerk",datfirejerk,caribbean,atlanta,,,info@datfirejerkchicken.com,(404) 254-4494,https://www.datfirejerkchicken.com/,website_scrape
"Memphis Best BBQ and Wings",memphisbestbbqandwings,bbq,atlanta,,,information@foxbrosbbq.com,(404) 577-4030,https://www.foxbrosbbq.com/,website_scrape
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,austin,,,,,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,austin,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,austin,,,info@57threstaurant.com,(770) 234-0057,http://www.57threstaurant.com/,domain_guess
"Bamboo Bistro - Austin, TX 78745 (Menu & Order Online)",bamboobistro-austintx78745menuorderonlin,restaurant,austin,,,info@bamboobistroonline.com,(512) 243-5588,http://www.bamboobistroonline.com/,domain_guess
"Home - C Spot",home-cspot,restaurant,austin,,,info@myhotpotspot.com,,https://www.myhotpotspot.com/,domain_guess
"Nagoya Steak & Sushi - Austin, TX 78750 (Menu & Order ...",nagoyasteaksushi-austintx78750menuorder,japanese,austin,,,mingchef88@gmail.com,(512) 276-2906,https://www.spicyhouseaustin.com/,website_scrape
"The Best Online Ordering System for Restaurants in 2024",thebestonlineorderingsystemforrestaurant,restaurant,austin,,,,,,
"Direct Online Ordering System Advantages for Restaurants",directonlineorderingsystemadvantagesforr,restaurant,austin,,,contactme@mtibmore.com,(410) 845-1289,http://www.bmoreequipment.com/,website_scrape
"Pre",pre,restaurant,austin,,,info@ammoora.com,(443) 940-6610,https://ammoora.com/,domain_guess
"Assistance and Resource Guide for Restaurants",assistanceandresourceguideforrestaurants,restaurant,austin,,,info@txrestaurant.org,(512) 457-4100,https://www.txrestaurant.org/,domain_guess
"Looking For Delivery Fulfillment For Your Restaurant?",lookingfordeliveryfulfillmentforyourrest,deli,austin,,,info@restaurantdepot.com,(512) 454-5600,https://www.restaurantdepot.com/?utm_source=listings&utm_medium=search&utm_campaign=traffic-tracking&utm_content=West-Coast&utm_term=701-TEXAS/OKC,domain_guess
"In-N-Out Burger",innout,burgers,austin,,,info@locations.in-n-out.com,(800) 786-1000,https://locations.in-n-out.com/306,domain_guess
"Hat Creek Burger",hatcreek,burgers,austin,,,info@hatcreekburgers.com,(512) 296-2151,https://hatcreekburgers.com/,domain_guess
"Thai Kitchen",thaikitchen,thai,austin,,,info@order.toasttab.com,(512) 474-2575,https://order.toasttab.com/online/thai-kitchen-3009-guadalupe-street,domain_guess
"Ramen Tatsu-Ya",ramentatsuya,japanese,austin,,,user@domain.com,(737) 786-3095,https://ramen-tatsuya.com/,website_scrape
"Suerte",suerte,restaurant,austin,,,suerte@redfancommunications.com,(512) 522-3031,https://www.suerteatx.com/,website_scrape
"Veracruz All Natural",veracruz,restaurant,austin,,,user@domain.com,(512) 665-2713,http://veracruzallnatural.com/,website_scrape
"Flyrite Chicken",flyrite,chicken,austin,,,donations@flyritechicken.com,,http://www.flyritechicken.com/,website_scrape
"Franklin Barbecue",franklin,bbq,austin,,,user@domain.com,(512) 653-1187,https://franklinbarbecue.com/,website_scrape
"Terry Blacks BBQ",terryblacks,bbq,austin,,,info@terryblacksbbq.com,(512) 394-5899,https://terryblacksbbq.com/austin,domain_guess
"Pinthouse Pizza",pinthouse,pizza,austin,,,catering@pinthouse.com,(512) 502-5808,https://pinthouse.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,website_scrape
"Favor",favor,restaurant,austin,,,forms@tambourine.com,(512) 608-4488,https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,website_scrape
"Halal Bros",halalbros,restaurant,austin,,,info@thehalalbros.com,(512) 276-2017,https://thehalalbros.com/halalbros-g0tajg?utm_source=google,domain_guess
"Tso Chinese Delivery",tso,chinese,austin,,,info@tsochinese.com,(512) 687-3152,https://tsochinese.com/,domain_guess
"Wasota African Cuisine",wasota,african,austin,,,info@tailatkitchen.com,(512) 809-4839,https://www.tailatkitchen.com/,domain_guess
"El Pollo Regio",elpolloregio,restaurant,austin,,,info@polloregio.com,(512) 933-9557,https://www.polloregio.com/,domain_guess
"Pueblo Viejo",puebloviejo,restaurant,austin,,,mypuebloviejo512@gmail.com,(512) 596-9078,https://www.puebloviejoaustin.com/,website_scrape
"Pho Saigon",phosaigon,vietnamese,austin,,,,,,
"Sap\\",sapsfinethai,restaurant,austin,,,sapsthaicuisine@gmail.com,(512) 899-8525,https://www.sapsver.com/,website_scrape
"Bouldin Creek Cafe",bouldincreek,cafe,austin,,,info@bouldincreek.com,(512) 416-1601,http://bouldincreekcafe.com/,website_scrape
"Counter Cafe",countercafe,cafe,austin,,,user@domain.com,(512) 351-9961,http://www.countercafe.com/,website_scrape
"Grizzeldas",grizzeldas,restaurant,austin,,,info@grizzeldas.com,(512) 366-5908,http://grizzeldas.com/,domain_guess
"Kerlin BBQ",kerlinbbq,bbq,austin,,,Orders@kerlinbbq.com,(512) 412-5588,http://kerlinbbq.com/,website_scrape
"Interstellar BBQ",interstellarbbq,bbq,austin,,,interstellarbbq@gmail.com,(512) 382-6248,http://www.theinterstellarbbq.com/,website_scrape
"Lucky Robot",luckyrobot,restaurant,austin,,,info@luckyrobotatx.com,(512) 444-8081,https://luckyrobotatx.com/?utm_source=google,domain_guess
"Aba",aba,restaurant,austin,,,AbaAustinCS@lettuce.com,(737) 273-0199,https://www.abarestaurants.com/austin/,website_scrape
"Ampersea",ampersea,restaurant,baltimore,,,info@ampersea.com,(443) 681-5310,http://www.ampersea.com/,domain_guess
"Charleston",charleston,restaurant,baltimore,,,info@charlestonrestaurant.com,(410) 332-7373,https://charlestonrestaurant.com/,website_scrape
"Mera Kitchen Collective",merakitchencollective,restaurant,baltimore,,,merakitchencollective@gmail.com,(443) 681-9855,http://www.mera.kitchen/,website_scrape
"Tavern at Woodberry Kitchen",tavernatwoodberrykitchen,restaurant,baltimore,,,user@domain.com,(443) 524-5097,http://www.woodberrykitchen.com/,website_scrape
"Copper Shark",coppershark,restaurant,baltimore,,,user@domain.com,(410) 202-2268,http://thecoppershark.com/,website_scrape
"Ammoora",ammoora,restaurant,baltimore,,,info@ammoora.com,(443) 940-6610,https://ammoora.com/,domain_guess
"Rusty Scupper Restaurant & Bar",rustyscupperrestaurantbar,restaurant,baltimore,,,info@rusty-scupper.com,(410) 727-3678,http://www.rusty-scupper.com/,domain_guess
"The Point In Fells",thepointinfells,restaurant,baltimore,,,user@domain.com,(410) 327-7264,http://www.thepointinfells.com/,website_scrape
"Blue Moon Cafe",bluemooncafe,cafe,baltimore,,,info@bluemoonbaltimore.square.site,(410) 522-3940,http://bluemoonbaltimore.square.site/,domain_guess
"Thames Street Oyster House",thamesstreetoysterhouse,seafood,baltimore,,,info@thamesstreetoysterhouse.com,(443) 449-7726,http://www.thamesstreetoysterhouse.com/,website_scrape
"Barcocina",barcocina,restaurant,baltimore,,,cj@barcocina.com,(410) 563-1500,http://www.barcocina.com/,website_scrape
"Twist fells point",twistfellspoint,restaurant,baltimore,,,contact@twistfellspoint.com,(410) 522-4000,https://www.twistfellspoint.com/,website_scrape
"Tre Fratelli Italian Ristorante",trefratelliitalianristorante,italian,baltimore,,,trefratelliristorante@gmail.com,(443) 602-7136,https://www.trefratelli-ristorante.com/,website_scrape
"Sobo Kitchen & Bar",sobokitchenbar,restaurant,baltimore,,,tulsi.sobo@gmail.com,(410) 752-1518,http://www.sobokitchen.com/,website_scrape
"Union Hill Kitchen & Craft Bar",unionhillkitchencraftbar,restaurant,baltimore,,,events@unionhillbal.com,(667) 260-2151,https://www.unionhillbal.com/,website_scrape
"The Outpost American Tavern",theoutpostamericantavern,restaurant,baltimore,,,user@domain.com,(443) 388-9113,http://theoutpostbaltimore.com/,website_scrape
"Blue Moon Too",bluemoontoo,restaurant,baltimore,,,info@bluemoonbaltimore.com,(443) 759-4907,http://bluemoonbaltimore.com/,domain_guess
"Riverside Taphouse",riversidetaphouse,vietnamese,baltimore,,,info@riversidetaphouse.com,(667) 210-2110,http://riversidetaphouse.com/,domain_guess
"Baltimore Seafood",baltimoreseafood,seafood,baltimore,,,info@bmoreseafood.com,(410) 624-5166,http://bmoreseafood.com/,domain_guess
"L.P. Steamers",lpsteamers,tea,baltimore,,,info@locustpointsteamers.com,(410) 576-9294,http://www.locustpointsteamers.com/,domain_guess
"Phillips Seafood",phillipsseafood,seafood,baltimore,,,info@phillipsseafood.com,(410) 685-6600,http://www.phillipsseafood.com/,domain_guess
"Everybody Loves Brunch",everybodylovesbrunch,breakfast,baltimore,,,info@everybodylovesbrunchexpress.com,(443) 835-4590,http://everybodylovesbrunchexpress.com/,domain_guess
"of Love & Regret",ofloveregret,restaurant,baltimore,,,regrets.of.love@gmail.com,(410) 327-0760,http://www.olarbmore.com/,website_scrape
"Gunther & Co.",guntherco,restaurant,baltimore,,,user@domain.com,(443) 869-6874,http://eatatgunther.com/,website_scrape
"The Chasseur",thechasseur,restaurant,baltimore,,,info@chasseurbaltimore.com,(410) 327-6984,https://chasseurbaltimore.com/,website_scrape
"Love Pomelo",lovepomelo,restaurant,baltimore,,,info@lovepomelorestaurant.com,(443) 226-6107,http://lovepomelorestaurant.com/,website_scrape
"Annabel Lee Tavern",annabelleetavern,restaurant,baltimore,,,user@domain.com,(443) 869-2370,https://www.theannabelleetavern.com/,website_scrape
"The Dive",thedive,restaurant,baltimore,,,info@thedivebaltimore.com,(667) 309-7499,https://www.thedivebaltimore.com/,domain_guess
"True Food Market",truefoodmarket,restaurant,baltimore,,,user@domain.com,(410) 366-0606,https://www.the-food-market.com/,website_scrape
"Direct Online Ordering System Advantages for Restaurants",directonlineorderingsystemadvantagesforr,restaurant,baltimore,,,contactme@mtibmore.com,(410) 845-1289,http://www.bmoreequipment.com/,website_scrape
"How Restaurants Can Start In-House Delivery",howrestaurantscanstartin-housedelivery,deli,baltimore,,,user@domain.com,,https://www.ekibenbaltimore.com/,website_scrape
"Pre",pre,restaurant,baltimore,,,info@ammoora.com,(443) 940-6610,https://ammoora.com/,domain_guess
"The Salty Pig",thesaltypig,restaurant,boston,,,user@domain.com,(617) 536-6200,http://www.thesaltypig.com/,website_scrape
"Beehive Restaurant",beehiverestaurant,restaurant,boston,,,info@beehiveboston.com,(617) 423-0069,http://beehiveboston.com/,domain_guess
"Legal Sea Foods - Harborside",legalseafoods-harborside,restaurant,boston,,,info@legalseafoods.com,(617) 477-2900,https://www.legalseafoods.com/locations/boston-harborside/,domain_guess
"Ostra",ostra,restaurant,boston,,,tlamotte@ostraboston.com,(617) 421-1200,https://ostraboston.com/,website_scrape
"Union Oyster House",unionoysterhouse,seafood,boston,,,info@unionoysterhouse.com,(617) 227-2750,http://www.unionoysterhouse.com/,domain_guess
"Wusong Tiki Bar",wusongtikibar,restaurant,boston,,,wusongroad@gmail.com,(617) 528-9125,https://www.wusongroad.com/,website_scrape
"Prezza",prezza,restaurant,boston,,,james@prezza.com,(617) 227-1577,https://prezza.com/,website_scrape
"Limoncello",limoncello,restaurant,boston,,,info@ristorantelimoncello.com,(617) 523-4480,http://ristorantelimoncello.com/,domain_guess
"Bricco",bricco,restaurant,boston,,,info@bricco.com,(617) 248-6800,https://bricco.com/,domain_guess
"Caroline",caroline,restaurant,boston,,,forms@tambourine.com,(512) 982-6766,http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,website_scrape
"Magnolia Cafe",magnoliacafe,cafe,boston,,,user@domain.com,(512) 445-0000,http://magnoliacafeaustin.com/,website_scrape
"Josephine House",josephinehouse,restaurant,boston,,,events@josephineofaustin.com,(512) 503-8033,http://josephineofaustin.com/,website_scrape
"Day Maker Half Day Cafe",daymakerhalfdaycafe,cafe,boston,,,info@daymakeratx.com,(512) 677-6338,https://daymakeratx.com/,domain_guess
"South End Buttery",southendbuttery,restaurant,boston,,,andrew.barker@southendbuttery.com,(617) 482-1015,https://www.southendbuttery.com/,website_scrape
"The Elephant Walk South End",theelephantwalksouthend,restaurant,boston,,,info@elephantwalkboston.com,(617) 247-1500,http://elephantwalkboston.com/,domain_guess
"The Shawmut Inn",theshawmutinn,restaurant,boston,,,info@shawmutinn.com,(617) 377-4165,https://www.shawmutinn.com/,domain_guess
"Barcelona Wine Bar",barcelonawinebar,restaurant,boston,,,info@barcelonawinebar.com,(404) 589-1010,https://www.barcelonawinebar.com/location/inmanpark/?utm_source=yext&utm_medium=localsearch&utm_campaign=landing-page&utm_content=inman-park,domain_guess
"The Stockyard Restaurant",thestockyardrestaurant,restaurant,boston,,,info@stockyardrestaurant.com,(617) 782-4700,https://www.stockyardrestaurant.com/,website_scrape
"Brighton Bodega",brightonbodega,restaurant,boston,,,contact@sansoxygen.com,(617) 208-8698,http://www.brightonbodega.com/,website_scrape
"Tasca Restaurant",tascarestaurant,restaurant,boston,,,info@tascatapas.com,(617) 730-8002,http://www.tascatapas.com/,domain_guess
"Kaju Korean Cuisine — Allston",kajukoreancuisineallston,korean,boston,,,hello@kajuallston.com,(617) 208-8540,http://www.kajuallston.com/,website_scrape
"Qiao Lin Hotpot",qiao-lin-hotpot,restaurant,boston,,,info@qiaolinhotpot.com,(617) 903-3343,https://qiaolinhotpot.com/,website_scrape
"Seoul Soulongtang",seoulsoulongtang,restaurant,boston,,,,,,
"Bonchon Allston",bonchonallston,restaurant,boston,,,info@restaurants.bonchon.com,(617) 254-8888,https://restaurants.bonchon.com/locations/ma/allston/123-brighton-ave,domain_guess
"Myers+Chang",myerschang,restaurant,boston,,,info@myersandchang.com,(617) 542-5200,http://www.myersandchang.com/,domain_guess
"Fuchun Ju",fuchunju,restaurant,boston,,,noodumplingli001@gmail.com,(857) 300-7449,https://www.fuchunjuboston.com/,website_scrape
"Wa Shin",washin,restaurant,boston,,,user@domain.com,(857) 289-9290,https://washinboston.com/,website_scrape
"JiangNan Boston",jiangnanboston,restaurant,boston,,,info@jiangnanus.com,(857) 277-0668,https://www.jiangnanny.com/ourlocations,website_scrape
"Yunnan Kitchen",yunnankitchen,restaurant,boston,,,yunnankitchenboston@gmail.com,(617) 936-4123,http://yunnankitchensouthend.com/,website_scrape
"Sarma Restaurant",sarmarestaurant,restaurant,boston,,,info@sarmarestaurant.com,(617) 764-4464,https://www.sarmarestaurant.com/,website_scrape
"Premiere on Broadway",premiereonbroadway,restaurant,boston,,,koryn.zammuto8@gmail.com,(617) 996-6838,http://premiereonbroadway.com/,website_scrape
"Field & Vine",fieldvine,restaurant,boston,,,user@domain.com,(617) 718-2333,http://www.fieldandvinesomerville.com/,website_scrape
"Foundry On Elm",foundryonelm,restaurant,boston,,,info@foundryonelm.com,(617) 628-9999,http://www.foundryonelm.com/,domain_guess
"Earls Kitchen + Bar",earlskitchenbar,restaurant,boston,,,info@earls.ca,(857) 957-0949,https://earls.ca/locations/prudential/,domain_guess
"june bug restaurant",junebugrestaurant,restaurant,boston,,,user@domain.com,(617) 718-0569,https://www.junebugrestaurant.com/,website_scrape
"Petit Robert Bistro",petitrobertbistro,restaurant,boston,,,info@petitrobertbistro.com,(617) 867-0600,http://www.petitrobertbistro.com/,website_scrape
"Cafe Weekend",cafeweekend,cafe,boston,,,Cafeweekend120@gmail.com,(774) 712-3077,https://cafeweekend120.wixsite.com/cafeweekend,website_scrape
"In House Cafe",inhousecafe,cafe,boston,,,ahmedadairy@yahoo.com,(617) 588-7575,http://inhousecafe.com/,website_scrape
"Shabu-Zen",shabu-zen,restaurant,boston,,,kencheng.shabuzen@gmail.com,(617) 292-8828,http://shabuzen.com/,website_scrape
"Thonglor",thonglor,restaurant,boston,,,info@thonglorboston.com,(617) 208-8184,http://www.thonglorboston.com/,domain_guess
"Spring Shabu-Shabu",springshabu-shabu,restaurant,boston,,,info@springshabu.com,(617) 202-5422,https://www.springshabu.com/,domain_guess
"Somenya Boston",somenyaboston,restaurant,boston,,,info@somenya.com,(617) 993-3368,https://www.somenya.com/,domain_guess
"Fenway Grill & Bar",fenwaygrillbar,restaurant,boston,,,contact@fenwaygrill.com,(617) 530-1778,https://www.fenwaygrillbar.com/,website_scrape
"Audubon",audubon,restaurant,boston,,,info@audubonboston.com,(617) 421-1910,http://audubonboston.com/,domain_guess
"Time Out Market Boston",timeoutmarketboston,restaurant,boston,,,infoboston@timeoutmarket.com,(978) 393-8088,https://www.timeoutmarket.com/boston/,website_scrape
"Eventide Fenway",eventidefenway,restaurant,boston,,,user@domain.com,(617) 545-1060,http://eventidefenway.com/,website_scrape
"Sweet Cheeks Q",sweetcheeksq,restaurant,boston,,,user@domain.com,(617) 266-1300,http://www.sweetcheeksq.com/,website_scrape
"Shy Bird - Fenway",shybird-fenway,restaurant,boston,,,hello@shybird.com,(857) 449-2204,https://www.shybird.com/,website_scrape
"Yard House",yardhouse,restaurant,boston,,,info@yardhouse.com,(617) 236-4083,https://www.yardhouse.com/locations/ma/boston/boston-fenway-fenway-triangle/8336?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:boston-ma-8336_pl:locurl_rd:1034,domain_guess
"Hojoko",hojoko,restaurant,boston,,,info@hojokoboston.com,(617) 670-0507,http://hojokoboston.com/,domain_guess
"Bleacher Bar",bleacherbar,restaurant,boston,,,info@bleacherbarboston.com,(617) 262-2424,http://www.bleacherbarboston.com/,domain_guess
"Eastern Standard Kitchen and Drinks",easternstandardkitchenanddrinks,restaurant,boston,,,info@easternstandardboston.com,(617) 530-1590,https://easternstandardboston.com/,domain_guess
"Josephine",josephine,restaurant,boston,,,info@josephinepizza.com,(617) 764-3035,https://www.josephinepizza.com/,website_scrape
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,boston,,,,,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,boston,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,boston,,,info@57threstaurant.com,(770) 234-0057,http://www.57threstaurant.com/,domain_guess
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,boston,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Boston Fish Supreme",bostonfishsupreme,seafood,boston,,,bostonfish2310@gmail.com,(601) 414-0410,https://www.bostonfishsupreme.com/,website_scrape
"Mai Thai restaurant - Orange, CT 06477 (Menu & Order Online)",maithairestaurant-orangect06477menuorder,thai,boston,,,info@maithaiaustin.com,(512) 482-8244,http://www.maithaiaustin.com/,domain_guess
"Boston Market",bostonmarket,restaurant,boston,,,cdoliner@bostonpublicmarket.org,(617) 973-4909,http://bostonpublicmarket.org/,website_scrape
"Wahlburgers",wahlburgers,burgers,boston,,,guestcare@wahlburgers.com,(617) 927-6810,https://locations.wahlburgers.com/us/ma/boston/30/,website_scrape
"Boston News Cafe",bostonnewscafe,cafe,boston,,,info@bostonnewscafe.com,(617) 423-1149,https://bostonnewscafe.com/,domain_guess
"Seafood Restaurant in Boston & Cambridge MA",seafoodrestaurantinbostoncambridgema,seafood,boston,,,info@summershackrestaurant.com,(617) 520-9500,https://www.summershackrestaurant.com/location/summer-shack-cambridge/,domain_guess
